"strategy","genes","s","N","gen","n_rep","p_lost","ibd","ibd_sd","rpg","drag","p_ibd","p_drag","p_both","drag_q95","p_both_lo","p_both_hi","gain"
"bg",1,0.6,20,1,300,0,0.928882235528942,0.0131040366980922,0.80565119760479,91.6166666666667,0.983333333333333,0.0533333333333333,0.0533333333333333,190,0.0307883197734781,0.0851667649095142,0.0347909750588456
"bg",1,0.6,20,2,300,0,0.976497005988024,0.00781975420529833,0.929675648702595,53.925,1,0.25,0.25,100.125,0.202018744601552,0.302994002046034,0.0169823255171309
"bg",1,0.6,20,3,300,0,0.991117764471058,0.00367523758887426,0.972946606786427,32.6833333333333,1,0.563333333333333,0.563333333333333,70,0.505151368136088,0.620252068176669,0.00684753311531006
"bg",1,0.6,40,1,300,0,0.936017964071856,0.0118886498137881,0.820114770459082,86.5,1,0.0833333333333333,0.0833333333333333,190,0.054654275878409,0.120558736875935,0.0423751496783
"bg",1,0.6,40,2,300,0,0.981297405189621,0.006371868826315,0.939815369261477,49.2166666666666,1,0.29,0.29,105.125,0.23928667449971,0.34491608924551,0.018197156629835
"bg",1,0.6,40,3,300,0,0.993590319361277,0.00280592115755606,0.978460578842315,25.5166666666667,1,0.663333333333333,0.663333333333333,55,0.606776982015293,0.716626011729883,0.00648801204002726
"bg",1,0.6,60,1,200,0,0.94002245508982,0.0102407969784092,0.827814371257485,85.1,1,0.095,0.095,182.5,0.0581696097251203,0.144376639976852,0.0464617057091419
"bg",1,0.6,60,2,200,0,0.983701347305389,0.00506573377665746,0.943454341317365,46.7875,1,0.36,0.36,95.125,0.293504720891167,0.430713946018717,0.018527308966922
"bg",1,0.6,60,3,200,0,0.994633233532934,0.0022273941084353,0.979797904191617,20.3,1,0.81,0.81,47.5,0.748668481376256,0.86189687462716,0.00626698480023451
"bg",1,0.6,80,1,150,0,0.942405189620758,0.00941564248424691,0.832385229540918,78.45,1,0.08,0.08,172.5,0.0420202647001724,0.135573890212639,0.048296463181135
"bg",1,0.6,80,2,150,0,0.98563872255489,0.00464283011735013,0.949431137724551,41.9166666666667,1,0.393333333333333,0.393333333333333,86.375,0.314652630010596,0.476315140016847,0.0190637233223786
"bg",1,0.6,80,3,150,0,0.995738522954092,0.00200572158527816,0.981721556886228,16.3666666666667,1,0.886666666666667,0.886666666666667,50,0.824751361334463,0.932575860352091,0.00609069500747667
"bg",1,0.6,100,1,120,0,0.943020209580838,0.00941182005166958,0.835061127744511,90.375,1,0.1,0.1,190,0.0527477863900599,0.168165212702666,0.0492288381612121
"bg",1,0.6,100,2,120,0,0.986152694610778,0.00456999610480236,0.948490518962076,40.75,1,0.383333333333333,0.383333333333333,82.875,0.296071885581727,0.476497206188391,0.0195488054167878
"bg",1,0.6,100,3,120,0,0.995833333333333,0.00185827614552566,0.983046407185629,15.3958333333333,1,0.9,0.9,42.5,0.831834787297334,0.94725221360994,0.00588253708531353
"bg",1,0.6,120,1,100,0,0.945875748502994,0.0106354039038035,0.840853293413174,84.525,1,0.1,0.1,187.625,0.049004689221486,0.176222597740023,0.0517829566468646
"bg",1,0.6,120,2,100,0,0.988046407185629,0.00429449526276409,0.95498502994012,38.875,1,0.39,0.39,77.875,0.294010414853417,0.492685520367636,0.0195001917372789
"bg",1,0.6,120,3,100,0,0.996579341317365,0.00163523979169688,0.985119760479042,12.875,1,0.91,0.91,35.375,0.836017744970365,0.958016404371608,0.00542092895936762
"bg",1,0.6,160,1,90,0,0.947247172322023,0.0088976981559766,0.843379906852961,80.5277777777778,1,0.0888888888888889,0.0888888888888889,165.25,0.0391606927491511,0.167653220874137,0.0538551571691254
"bg",1,0.6,160,2,90,0,0.987999001996008,0.00397569671442293,0.951180971390552,41.4166666666667,1,0.444444444444444,0.444444444444444,87.5,0.339644156316046,0.553003985535103,0.0190630416718445
"bg",1,0.6,160,3,90,0,0.996498669328011,0.00183971524580111,0.984131736526946,13.4722222222222,1,0.922222222222222,0.922222222222222,37.75,0.846293891918057,0.96815743687868,0.00547177609227709
"bg",1,0.6,200,1,90,0,0.949575848303393,0.00831262889364195,0.843862275449102,84.6388888888889,1,0.0666666666666667,0.0666666666666667,187.5,0.024856666279035,0.139475699484797,0.0560412376941839
