"N","L","n_sel","f_GB","us_hybrid","us_lines","us_decode","us_swap"
400,40,20,0.00119209289550781,6.57226562500002,17.9101562499984,13.2617187499995,2.72460937499996
1600,80,32,0.019073486328125,7.72460937499997,36.2500000000043,30.5468750000015,3.02734375000002
3600,120,72,0.0965595245361328,39.9218750000063,83.046875000008,76.5625000000014,3.27636718750024
6400,160,128,0.30517578125,78.2031249999982,147.812499999986,140.937500000007,3.88183593750036
10000,200,200,0.745058059692383,132.187500000001,168.749999999989,159.062500000005,4.19433593750018
22500,300,450,3.77185642719269,NA,NA,NA,NA
