"scale","N","n_sel","alpha_max","heuristic","incumbent","dual","status","cuts","secs","gap_pct"
"tiny",36,8,0.005,1.12154533031483,1.12154533031483,1.12154533031483,"optimal",40,7.13499999999999,1.97980945507304e-14
"tiny",36,8,0.01,1.12770592607992,1.12770592607992,1.12770592607992,"optimal",73,14.667,1.96899386435692e-14
"tiny",36,8,0.02,1.25000525893661,1.25000525893661,1.25000525893661,"optimal",20,1.846,1.77634936603328e-14
"book",625,60,0.005,1.38037333572666,1.38037333572666,1.64239305950813,"time limit",4,300.487,15.9535333070603
"book",625,60,0.01,1.52795748662057,1.52795748662057,1.69951083289658,"time limit",4,300.509,10.0942778919287
