"evals","secs","best","method"
300,0.00200000000006639,1.31908729846236,"hill"
600,0.0040000000000191,1.35424349413502,"hill"
900,0.00599999999997181,1.37122014968147,"hill"
1200,0.00900000000001455,1.44080930067559,"hill"
1500,0.0109999999999673,1.45963498993222,"hill"
1800,0.0130000000000337,1.48480758663636,"hill"
2100,0.0149999999999864,1.48487965410659,"hill"
2400,0.0170000000000528,1.49695018373929,"hill"
2700,0.0199999999999818,1.49968558712131,"hill"
3000,0.0220000000000482,1.49968558712131,"hill"
3300,0.0240000000000009,1.49968558712131,"hill"
3600,0.0260000000000673,1.49968558712131,"hill"
3900,0.02800000000002,1.49968558712131,"hill"
4200,0.0299999999999727,1.50036349156949,"hill"
4500,0.0310000000000628,1.50036349156949,"hill"
4800,0.0330000000000155,1.50036349156949,"hill"
5100,0.0360000000000582,1.50036349156949,"hill"
5400,0.0380000000000109,1.50036349156949,"hill"
5700,0.0399999999999636,1.50036349156949,"hill"
6000,0.04200000000003,1.50036349156949,"hill"
6300,0.0439999999999827,1.50036349156949,"hill"
6600,0.0460000000000491,1.50036349156949,"hill"
6900,0.0480000000000018,1.50036749661687,"hill"
7200,0.0500000000000682,1.50036749661687,"hill"
7500,0.0520000000000209,1.50036749661687,"hill"
7800,0.0539999999999736,1.50089109387766,"hill"
8100,0.05600000000004,1.50263978598444,"hill"
8400,0.0579999999999927,1.50996689238161,"hill"
8700,0.0600000000000591,1.50996689238161,"hill"
9000,0.0620000000000118,1.51311019704836,"hill"
9300,0.0639999999999645,1.51368248446846,"hill"
9600,0.0660000000000309,1.51465679295634,"hill"
9900,0.0679999999999836,1.51465679295634,"hill"
10200,0.07000000000005,1.51465679295634,"hill"
10500,0.0720000000000027,1.51554761627339,"hill"
10800,0.0740000000000691,1.51554761627339,"hill"
11100,0.0760000000000218,1.51554761627339,"hill"
11400,0.0779999999999745,1.51554761627339,"hill"
11700,0.0800000000000409,1.51554761627339,"hill"
12000,0.0819999999999936,1.51554761627339,"hill"
12300,0.08400000000006,1.51653257651471,"hill"
12600,0.0850000000000364,1.51653257651471,"hill"
12900,0.0869999999999891,1.51653257651471,"hill"
13200,0.0900000000000318,1.51699206516233,"hill"
13500,0.0919999999999845,1.51699206516233,"hill"
13800,0.0940000000000509,1.51699206516233,"hill"
14100,0.0960000000000036,1.51699206516233,"hill"
14400,0.0979999999999563,1.51699206516233,"hill"
14700,0.100000000000023,1.51818789325325,"hill"
15000,0.101999999999975,1.51818789325325,"hill"
15300,0.103000000000065,1.52278238535252,"hill"
15600,0.105999999999995,1.52278238535252,"hill"
15900,0.108000000000061,1.52278238535252,"hill"
16200,0.110000000000014,1.52278238535252,"hill"
16500,0.111999999999966,1.52278238535252,"hill"
16800,0.114000000000033,1.52278238535252,"hill"
17100,0.115999999999985,1.52278238535252,"hill"
