"set","sigma_DH","MRD","n_seg"
"inter-pool (A x B)",5.23285051186452,0.607865116617165,1478
"inter-pool (A x B)",4.52066975481908,0.610122938431264,1489
"inter-pool (A x B)",5.02153709901713,0.612576525831671,1501
"inter-pool (A x B)",5.04760354984644,0.600208297176905,1441
"inter-pool (A x B)",4.64748789567011,0.617251974480438,1524
"inter-pool (A x B)",5.39973871065905,0.606630035524124,1472
"inter-pool (A x B)",4.71049779396927,0.607659444096774,1477
"inter-pool (A x B)",4.7641309419401,0.610532554414587,1491
"inter-pool (A x B)",4.7848557373738,0.596238207430554,1422
"inter-pool (A x B)",5.15646655874869,0.607247890074556,1475
"inter-pool (A x B)",5.25170504054616,0.617454451761424,1525
"inter-pool (A x B)",5.46820312876819,0.612984502251077,1503
"inter-pool (A x B)",4.29426312556569,0.616238590158065,1519
"inter-pool (A x B)",5.45721991367746,0.608892437134836,1483
"inter-pool (A x B)",5.04063160241389,0.606836056937951,1473
"inter-pool (A x B)",4.69857870567927,0.605805249234438,1468
"inter-pool (A x B)",5.23538877124803,0.604565960007673,1462
"inter-pool (A x B)",4.62017626575528,0.609713047260758,1487
"inter-pool (A x B)",5.10942425122762,0.608276253029822,1480
"inter-pool (A x B)",3.9615574822744,0.598331012066064,1432
"inter-pool (A x B)",5.09212299956667,0.612984502251076,1503
"inter-pool (A x B)",5.16894659168385,0.608070719571334,1479
"inter-pool (A x B)",5.29125903878094,0.618263697785986,1529
"inter-pool (A x B)",5.48504709065027,0.617454451761423,1525
"inter-pool (A x B)",4.93524472497702,0.613188388670235,1504
"inter-pool (A x B)",5.49814058245214,0.608687111741328,1482
"inter-pool (A x B)",4.99051981993278,0.601456565347823,1447
"inter-pool (A x B)",5.08366345416319,0.621490144732803,1545
"inter-pool (A x B)",5.13458823826826,0.610327780786685,1490
"inter-pool (A x B)",5.3824241530907,0.609713047260759,1487
"inter-pool (A x B)",4.88235072237831,0.610737259384099,1492
"inter-pool (A x B)",4.37475126907285,0.602079728939614,1450
"inter-pool (A x B)",4.4177017506354,0.607453701939498,1476
"inter-pool (A x B)",4.62928624256695,0.600832755431992,1444
"inter-pool (A x B)",4.37763304692542,0.609918027279076,1488
"inter-pool (A x B)",5.14965785815558,0.602909611799315,1454
"inter-pool (A x B)",5.13529174781748,0.605598877145591,1467
"inter-pool (A x B)",5.07699927419585,0.607453701939498,1476
"inter-pool (A x B)",5.21474397577502,0.61196405123177,1498
"inter-pool (A x B)",4.80911785908064,0.605392434706612,1466
"inter-pool (A x B)",5.24805615936323,0.609097693313643,1484
"inter-pool (A x B)",4.68966277298409,0.62509999200128,1563
"inter-pool (A x B)",4.747788188503,0.608276253029822,1480
"inter-pool (A x B)",4.54623569249913,0.612168277518527,1499
"inter-pool (A x B)",5.0194423920283,0.609507998306831,1486
"inter-pool (A x B)",5.07737232702193,0.612372435695794,1500
"inter-pool (A x B)",4.87666945988232,0.608276253029822,1480
"inter-pool (A x B)",4.54623569249913,0.612168277518527,1499
"inter-pool (A x B)",4.94755468115313,0.607659444096773,1477
"inter-pool (A x B)",5.32529756148771,0.614206805563077,1509
"inter-pool (A x B)",5.19245056306566,0.611146463623901,1494
"inter-pool (A x B)",4.91201666439519,0.611146463623901,1494
"inter-pool (A x B)",5.00481600440382,0.611146463623901,1494
"inter-pool (A x B)",5.34990836118188,0.613799641576956,1507
"inter-pool (A x B)",5.2995029819799,0.608276253029822,1480
"inter-pool (A x B)",5.46499573066673,0.610737259384099,1492
"inter-pool (A x B)",5.07399270605762,0.61461369981477,1511
"inter-pool (A x B)",4.99695306283896,0.604565960007674,1462
"inter-pool (A x B)",5.37179297565537,0.612168277518527,1499
"inter-pool (A x B)",5.29125903878094,0.618263697785986,1529
"inter-pool (A x B)",3.89387678484127,0.608892437134836,1483
"inter-pool (A x B)",5.12167834172195,0.608276253029822,1480
"inter-pool (A x B)",5.64553167669133,0.61400325732035,1508
"inter-pool (A x B)",5.25680472875322,0.607247890074556,1475
"inter-pool (A x B)",5.78984784265799,0.608070719571334,1479
"inter-pool (A x B)",5.23538877124803,0.604565960007673,1462
"inter-pool (A x B)",5.67017816089133,0.611759756767311,1497
"inter-pool (A x B)",5.16800978441559,0.619273768215641,1534
"inter-pool (A x B)",5.19555704362982,0.603945361767105,1459
"inter-pool (A x B)",4.80571356296375,0.610737259384099,1492
"inter-pool (A x B)",5.18399436203069,0.601456565347823,1447
"inter-pool (A x B)",5.32017951713387,0.606217782649107,1470
"inter-pool (A x B)",4.8088396711176,0.615020324867398,1513
"inter-pool (A x B)",5.67017816089133,0.611759756767311,1497
"inter-pool (A x B)",4.65535760737063,0.616846820531645,1522
"inter-pool (A x B)",4.83881648024313,0.602909611799314,1454
"inter-pool (A x B)",4.6695260405493,0.611555394056826,1496
"inter-pool (A x B)",5.22861138974037,0.607042008431047,1474
"inter-pool (A x B)",4.88611525633689,0.616644143732834,1521
"inter-pool (A x B)",5.19050403884494,0.613595958265698,1506
"inter-pool (A x B)",4.58762999383061,0.610532554414587,1491
"inter-pool (A x B)",4.68146032368313,0.612576525831671,1501
"inter-pool (A x B)",5.02457657083868,0.617251974480438,1524
"inter-pool (A x B)",5.15827780657918,0.606423944118304,1471
"inter-pool (A x B)",4.95135238811241,0.612168277518527,1499
"inter-pool (A x B)",4.7930384784015,0.60518592184551,1465
"inter-pool (A x B)",4.88235072237831,0.610737259384099,1492
"inter-pool (A x B)",5.04940935962788,0.61196405123177,1498
"inter-pool (A x B)",4.37475126907285,0.602079728939614,1450
"inter-pool (A x B)",5.00314764383715,0.609713047260759,1487
"inter-pool (A x B)",5.45721991367746,0.608892437134836,1483
"inter-pool (A x B)",5.04312073919922,0.606217782649107,1470
"inter-pool (A x B)",5.05459433998432,0.606011551045028,1469
"inter-pool (A x B)",5.19942804351978,0.605392434706612,1466
"inter-pool (A x B)",5.21840646786377,0.610532554414586,1491
"inter-pool (A x B)",5.23538877124803,0.604565960007673,1462
"inter-pool (A x B)",4.9939452545382,0.603945361767105,1459
"inter-pool (A x B)",4.82061373240374,0.610532554414587,1491
"inter-pool (A x B)",5.10124802540151,0.616644143732834,1521
"inter-pool (A x B)",4.88989458206637,0.615223536610881,1514
"inter-pool (A x B)",5.38044386747146,0.609507998306831,1486
"inter-pool (A x B)",4.39787804029895,0.613188388670235,1504
"inter-pool (A x B)",4.87368228882176,0.61461369981477,1511
"inter-pool (A x B)",4.92378156229618,0.605805249234438,1468
"inter-pool (A x B)",5.37167933558661,0.608276253029822,1480
"inter-pool (A x B)",5.41000088130282,0.614206805563077,1509
"inter-pool (A x B)",5.3437711962658,0.612780547994141,1502
"inter-pool (A x B)",5.1593968080126,0.61400325732035,1508
"inter-pool (A x B)",4.79597641553809,0.604565960007673,1462
"inter-pool (A x B)",4.95915502041669,0.607865116617165,1478
"inter-pool (A x B)",5.4662724234118,0.604152298679729,1460
"inter-pool (A x B)",4.9077692329368,0.609713047260758,1487
"inter-pool (A x B)",5.03361540891592,0.602287306856122,1451
"inter-pool (A x B)",5.23145935119176,0.618869937870632,1532
"inter-pool (A x B)",4.87097705147517,0.60559887714559,1467
"inter-pool (A x B)",5.33213977535029,0.610327780786685,1490
"inter-pool (A x B)",5.52323803714046,0.615426681254559,1515
"inter-pool (A x B)",5.17764781158498,0.609507998306831,1486
"inter-pool (A x B)",5.10128510365883,0.619475584668194,1535
"inter-pool (A x B)",5.40833501846157,0.605805249234438,1468
"inter-pool (A x B)",4.74843357445025,0.600208297176905,1441
"inter-pool (A x B)",5.37746609355549,0.617049430758995,1523
"inter-pool (A x B)",5.58957716219315,0.611555394056826,1496
"inter-pool (A x B)",5.25367939959477,0.604979338490167,1464
"inter-pool (A x B)",5.33698997593499,0.612576525831671,1501
"inter-pool (A x B)",5.29125903878094,0.618263697785986,1529
"inter-pool (A x B)",4.63172413373155,0.61257652583167,1501
